Pattern ID,Matches reflect intention of the training match?,Pos match ids,Neg match ids,Ignore match ids,Comments,Actions,Archive / ignore,Delete,Actions done,Insert to new DB,Insert to new DB then retrain
96,no,,,,,Add 'up-regulation' to vocab,,,y,,y
137,no,,,,"This is actually a bidirectional association and not necessarily antecedent-consequent as there is no claim as to temporal precedence. From this statement, we could conclude that increased smoking could lead to increased cognitive decline or vice versa. Both these possibilities should be represented in the output. A resulting information graph should be able to use this association to generate paths based on either interpretation.",Change to an 'assoc-assoc' relationship;,,,,n,
113,no,,,,,Add 'up-reguation' to valence vocab,,,y,,y
24,,"93, 99, 100, 104, 105, 106, 108, 110, 111, 112, 118, 120","94, 95, 96, 97, 98, 101, 102, 107, 109, 113, 114, 115, 116, 117, 121, 103",,"All good matches have some kind of valence action implied or inherent. match 95 - bad parsing. match 117 - example of abstract segmentation tags (methods, results, conclusion, etc.) causing bad parsing. There are actually several different patterns here.","Experiment with features and refinement to keep matches: 93, 99, 100, 101, 103, 104, 105, 106, 108, 110, 111, 112, 118, 120. Try adding valence feature sensitivity to all ant-cons relationships and see if this improves the match space. Deal with abstract segmentation tags (methods, results, conclusion, etc.) which cause bad parsing thus bad matching",,,y,y,
133,,"1365, 1366, 1373, 1380, 1381","1362, 1367, 1368, 1369, 1370, 1371, 1372, 1375, 1376, 1378, 1379, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1389, 1374, 1377",,"The training match is a bidirectional association. Desirable association matches: 1365, 1366, 1373, 1380, 1381. Matches where ant and cons labels should be switched: 1361, 1363, 1364. Methody / intro-y matches that we could do without: 1362, 1367, 1368, 1369, 1370, 1371, 1372, 1375, 1376, 1378, 1379, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1389. Neg match where tree extension to require 'with' would fix: 1374. Undesirable match but sentence contains a good association match: 1377. Seems like constraining pattern to match ""associated with"" tokens would resolve.",Test pattern refinement with this case.,,,y,n,
127,,,,,,Add 'deficiencies' to vocab,,,y,,y
152,,,,,"One of those where it's ""those who did something showed something"". So the connection we want is the doing of the thing with the thing that was shown. This pattern however links the agent that does the thing with the endpoint. Getting this information requires an extra leap that for now we could avoid. ",,,y,,n,
14,yes,,,,,Consider removing 'provide' from valence vocab,,,,y,
85,,,,,"One of those where it's ""those who did something showed something"". Requires extension of pattern tree and refinement to capture sufficient pattern.",,y,,,n,
106,,"767, 769, 770, 773, 780","766, 768, 774, 777, 778, 781, 783, 784, 785, 771, 779",,"Good ant-cons matches with valence: 767, 769, 770, 773, 780; methody / introy neg matches: 766, 768, 774, 777, 778, 781, 783, 784, 785; non-ant-cons matches: 771, 779; ant-cons without valence: 772, 775, 782, 786; bad-parsing: 776 It seems again that simply including valence vocab in the features would remove almost all of what we don't want.",,,,y,y,
63,,"313, 316, 327","314, 315, 317, 318, 320, 321, 322, 323, 324, 326, 328, 330, 329",,"Pos matches: 313, 316, 327; neg matches: 314, 315, 317, 318, 320, 321, 322, 323, 324, 326, 328, 330. Ant-cons should be reversed: 329",Case for refinement algo experimentation. Test with fully automated pipeline.,,,y,y,
55,,"255, 256, 262, 263, 266, 267, 268, 269","257, 258, 259, 260, 261, 264, 265, 270, 271",,"pos matches: 255, 256, 262, 263, 266, 267, 268, 269; neg matches: 257, 258, 259, 260, 261, 264, 265, 270, 271",As above,,,y,y,
138,,,,,,Add 'faster' to valence vocab,,,y,,y
146,,,,,,Add 'treatment' to down vocab,,,y,,y
125,,"1294, 1299, 1300","1293, 1295, 1296, 1297, 1298, 1301, 1302, 1304, 1305",,"pos matches: 1294, 1299, 1300",,,,y,y,
75,,381,"382, 383, 384, 385, 386, 387, 388, 389, 390, 391",,only pos match is 381,,,,y,y,
150,,,,,,Add 'greater' to vocab,,,y,,y
64,y,,,,,,,,y,y,
107,,"1024, 1025, 1026, 1027, 1028, 1031, 1032, 1033","1029, 1030",,only neg match: 1029,,,,y,y,
121,,,,,,Add 'precipitate' to vocab,,,y,,y
9,,,,,,"Remove 'follow' from vocab
",,,y,,
83,,,,,,Add 'greater' to vocab,,,y,,y
41,,,,,,Add 'higher' to vocab,,,y,,y
47,,,,,,Add 'lower' to vocab,,,y,,y
87,,,,,,Add 'poorer' to vocab,,,y,,y
81,,412,413,,neg match: 413,,,,y,y,
153,,,,,,add 'worse' to vocab,,,y,,y
